db_id,db_name,notes,content_producer,chron_coverage,content_types,more_info,usage_stats,vendor_id,title_lists,multiconsort_note,subscrib_notes
1337,PsycCRITIQUES,"Containing more than 41,000 individual reviews, with new reviews added each week, PsycCRITIQUES provides analysis and insights relevant to users across any institution. Faculty members can quickly identify literature that will be useful for coursework, librarians find it valuable for collection development, students use it to identity research done over time, and practitioners find current resources that are relevant to their practice. [From vendor] Last updated: March 13, 2015""",American Psychological Association,,,http://www.ebscohost.com/academic/psyccritiques,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,#N/A,,
98,CJDB (CUFTS Journal Database),"<p>The CJDB is a serials management tool. It provides the following services:</p><ul><li>A highly customizable alphabetic and subject list of your electronic and print journal holdings</li><!--<li>Electronic Resource Management (ERM) features</li>--><li>MARC record export for  ejournal holdings</li></ul><h5>Access to the Admin Module</h5><p>CJDB is administered via the CUFTS admin module, located at:<br><a href=""""http://cufts2.lib.sfu.ca/MaintTool/"""">http://cufts2.lib.sfu.ca/MaintTool/</a></p><p>Sites already using the CUFTS admin module for link resolving should be able to access the CJDB admin functions using their existing passwords. If you require a password, please contact the BC ELN Office.</p><h5>Adding Print Holdings</h5><p>If your site has not yet added BC print holdings (and would like to), please contact the BC ELN Office for the initial setup. A file of your serials records in MARC format will be required, and some config information to enable CJDB to link back to your catalogue. </p><p>After your MARC records have been loaded, you can use the admin module to update them. Updates will be merged into your journal list overnight (because of the volume of processing required, it is run as a batch job once a day).</p><h5>Customizing the Interface </h5><p>Interface customization is done by editing web templates through the admin utility.  Some knowledge of HTML is required. </p><p>Simple customizations can be handled by the BC ELN office if you would rather not make them locally.</p><h5>Exporting MARC Records</h5><p>Export of MARC records is available from CJDB Data in CUFTS admin.</p><h5>Scheduling CJDB Rebuilds</h5><p>There are many database title lists in CUFTS updating at SFU Library happens on an ongoing basis.  Libraries can schedule CJDB rebuilds at their convenience.  For optimum results, weekly updates can be scheduled.  Monthly or semesterly updates will provide reasonably up to date results.  If you are including print holdings, remember to """"rebuild with print"""".  Rebuild is a batch process which runs overnight your CJDB will be up to date the morning after the rebuild is set.<h5><a href=""""http://researcher.sfu.ca/index.php/plain/media/files/cufts_administration_guide"""">CUFTS Admin Guide</a></h5><p>Last updated: March 26, 2015""",,,,http://researcher.sfu.ca/cufts,,74,#N/A,,
100,Dictionary of National Biography,"Explore the lives of almost 60,000 people worldwide in this illustrated online collection of academic biographies. This authoritative resource covers individuals who have shaped all aspects of British history, from the Romans to the present day, written by specialist authors and edited by academics at Oxford University. The online edition offers versatile, comprehensive search options across this regularly updated resource, including access to themed articles, reference lists, special features, learning resources, free biography podcasts, and thousands of internal and external links to related articles and other resources, such as Who Was Who and the National Portrait Gallery.<p>[From vendor]<p>Updated: April 2, 2015""",,,,http://ukcatalogue.oup.com/product/academic/online/biography/9780198614128.do,"Usage statistics for DNB Online are available in the Subscriber Services Section of the site. After entering DNB Online, click the Subscriber Services link in the upper right corner of the page. You will need the Administrative username and password for your account in order to access the Subscriber Services tools (available by following the prompts online).",61,#N/A,,
102,Wilson Legacy Bundle,"<p>The Wilson Indexes + Full Text is a legacy licence. As of August 2012 no new libraries may join, and current subscribers cannot adjust collections, only drop the entire product. Ebsco will soon be announcing new products which will enable libraries to obtain access to a re-packaged version of the same content.</p>Direct URLs are formed by adding the three letter short name to end of the following: <br>http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=""""<p>Libraries participating in this licence receive access to a group of seven index products, the former Wilson Indexes package, consisting of:</p><UL type=disc><LI>Art Index (aai)<LI>Applied Science & Technology Index (asi)<LI>Biological & Agricultural Index Plus (bai)<LI>General Science Abstracts (gsa)<LI>Humanities Abstracts (hma)<LI>Readers' Guide Abstracts (rga)<LI>Social Sciences Abstracts (ssa)</UL><p>Libraries also receive access to one or more of six fulltext add-on packages.</P><UL type=disc><LI><a href=""""http://www.ebscohost.com/academic/applied-science-technology-full-text"""">Applied Science & Technology</a>(asf)<LI><a href=""""http://www.ebscohost.com/academic/art-full-text"""">Art</a>(aft)<LI><a href=""""http://www.ebscohost.com/academic/general-science-full-text"""">General Science</a>(gft )<LI><a href=""""http://www.ebscohost.com/academic/humanities-full-text"""">Humanities </a>(hft)<LI><a href=""""http://www.ebscohost.com/academic/readers-guide-full-text-select"""">Reader's Guide</a>(rgs)<LI><a href=""""http://www.ebscohost.com/academic/social-sciences-full-text"""">Social Science</a>(ssf)</ul><p>The choice of add-ons may not be modified after August 2012. Participating libraries and their fulltext add-ons are listed below.</p><ul><li>Alexander College: GS + Hum + SS<li>British Columbia Institute of Technology:  Art<li>Camosun University: AS&T + SS<li>College of New Caledonia:  Art<li>College of the Rockies: SS<li>Kwantlen Polytechnic University: SS<li>Langara College: Art<li>Nicola Valley Institute of Technology: SS<li>North Island College: Art + AS&T + SS<li>Northern Lights College: SS<li>Okanagan College: SS<li>Quest University: Art + AS&T + GS + Hum + SS<li>Selkirk College: SS<li>Simon Fraser University: Art + SS<li>University of the Fraser Valley: Art<li>University of British Columbia: Art<li>University of Northern British Columbia: Hum + SS<li>University of Victoria: Art + SS<li>Yukon College: SS</ul>Last updated: May 4, 2015""",,1984-present,"Index,Abstract,FullText",,,53,#N/A,,
151,Berg Fashion Library,"The Berg Fashion Library is a unique online portal which offers fully cross-searchable access to an expanding range of Berg content collections ñ including the Berg Encyclopedia of World Dress and Fashion online, e-books, reference works, images, and much more.<p>Students and scholars in disciplines as diverse as anthropology, art history, history, sociology, geography, folklore, museum studies, theatre, and cultural studies as well as fashion and textiles will find the Berg Fashion Library a treasury of fascinating insights into people and cultures all over the world.<p>[From vendor]<p>Last updated: March 25, 2015""",Berg Publisher,,,http://www.bergfashionlibrary.com/page/aboutthebergfashionlibrary/about,,61,http://www.bergfashionlibrary.com/page/whatsinbergfashionlibrary/whats-in-the-berg-fashion-library,,
129,Business Source Complete,"<p>Libraries may choose to subscribe to BSC as an optional upgrade on BSP, which is included in the Undergraduate Foundation Collection.<p>In terms of premium content, peer-reviewed sources and business related journals, Business Source Complete offers comprehensive full-text coverage plus indexing and abstracts for the most important scholarly business journals, dating back as far as 1886.<p>When Business Source Complete is combined with the new comprehensive database Regional Business News Plus, the result is a package that delivers more key content to academic researchers than any other business database available.<p>[From vendor]<p>Last updated: March 19, 2015""",EBSCO Publishing,1886 - present,"Index,Abstract,FullText",http://www.ebscohost.com/academic/business-source-complete,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.ebscohost.com"""">http://eadmin.ebscohost.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact BC ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,http://www.ebscohost.com/titleLists/bth-journals.htm,,
171,Art Source,"Developed from a merger of high-quality databases from EBSCO and H.W. Wilson, and including many unique sources that were not previously available, this database covers a broad range of related subjects from fine, decorative and commercial art, to various areas of architecture and architectural design.<p>This database features full-text articlesóas well as detailed indexing and abstractsófor an array of journals, books and more. International in scope, Art Source includes periodicals published in French, Italian, German, Spanish and Dutch and is designed for use by a diverse audience, including art scholars, artists, designers, students and general researchers.<p>[From vendor]<p>Last updated: April 24, 2015""",EBSCO,1929 - Present,"Index,Abstract,FullText",http://www.ebscohost.com/academic/art-source,,53,http://www.ebscohost.com/titleLists/asu-coverage.htm,,
131,Quicklaw,"Quicklaw Core<p><li>""""Canadaís market leader in online legal research, the Quicklaw service provides access to the most comprehensive collection available of case law, legislation, exclusive current awareness services, expert commentary and more.""""</li><li>All content in Quicklaw Core is now included in LexisNexis Academic.</li><li>There is some additional content which is available only for law school students. They must use the Register screen to log in in order to view this content.</li><p>Quicklaw Plus<p>Quicklaw Plus contains all the content in Quicklaw Core and a set of premium supplementary content.<li>Jurisclasseur Quebec - including more than ten separate """"droit civil"""" collections</li><li>LegisPratique</li><li>8 new legal texts in French</li><li>12 new legal texts in English</li><li>Halsburyís Laws of England</li><li>Halsburyís Laws of Canada (all volumes)</li><li>Juris Classeur</li><li>More than 20 newly added Butterworths legal textbooks</li><li>Significant collections of US, UK, Aust/NZ legal materials</li><li>Litigation and Solicitors Forms & Precedents</li><li>Quantums</li><li>Practice Products in various areas of law e.g. Intellectual Property, Labour, Employment, Criminal, Family, Immigration.</li><p>[From vendor]<p>Last updated: December 2, 2013""",LexisNexis Canada,,"Index,Abstract,FullText",http://www.lexisnexis.ca/en/our-solutions/academic/academic-librarians/research-solutions/complete-and-comprehensive-research/quicklaw.aspx,Please contact BC ELN staff to obtain usage statistics.,89,#N/A,,
138,Academic Search Complete,"<p>Libraries may choose to subscribe to ASC as an optional upgrade on ASP, which is included in the Undergraduate Foundation Collection.</p><p>Designed for academic institutions, this database provides complete coverage of multidisciplinary academic journals.  The level and range of content included in this resource fully supports scholarly research in the key areas of academic study by providing peer-reviewed journals, full-text periodicals, reports, books, and much more.<p>Academic Search Complete offers an enormous collection of the most valuable full-text journals, providing users access to critical information from many sources unique to this database. In addition, this database is the leading source of peer-reviewed, full-text for STM research, as well as for the Social Sciences and Humanities. This scholarly collection offers unmatched coverage of information spanning a broad range of important areas of academic study, including anthropology, engineering, law, sciences and more. [From vendor]<p>Last updated: March 18, 2015""",EBSCO,1887,"Index,Abstract,FullText",http://www.ebscohost.com/academic/academic-search-complete,,53,http://www.ebscohost.com/titleLists/a9h-journals.htm,,
133,Auto Repair Reference Center,"This database contains do-it-yourself repair and maintenance information on most major manufacturers of domestic and imported vehicles. New repair procedures, TSBs and updates are added to the product on a regular basis. All of the content has been created by ASE certified technicians.<p>Content includes:<ul><li>Coverage of more than 37,000 vehicles from 1954 to present<li>Millions of drawings and step-by-step photographs<li>Approximately 110,000 technical service bulletins & recalls issued by the original equipment vehicle manufacturer<li>Over 180,000 enhanced wiring diagrams for easy viewing and printing<li>Specifications & maintenance schedules<li>Labor Time Guide & Estimator<li>Video overviews of auto systems with AutoIQ<li>Quick Tips (a complete guide to vehicle ownership & maintenance)<li>Ability to email high-quality PDF records<li>Diagnostic information</ul><p>[From vendor]<p>Last updated: March 24, 2015""",EBSCO,1954 to present,,http://www.ebscohost.com/public/auto-repair-reference-center,,53,#N/A,,
150,Canadian Points of View,"<p>Canadian Points of View Reference Centre contains 150 topics, each with an overview (objective background / description), point (argument), and counterpoint (opposing argument). Each topic features a Guide to Critical Analysis which helps the reader evaluate the controversy and enhances studentsí ability to read critically, develop their own perspective on the issues, and write or debate an effective argument on the topic.<p>Available in its own user-friendly interface or via EBSCOhost, Canadian Points of View Reference Centre provides a balance of materials from all viewpoints, including main essays, leading political magazines, newspapers, radio and TV news transcripts, primary source documents, reference books, and a series of titles from World Public Opinion. The database also offers guides to developing arguments, writing position papers, and debating. Additionally, this database contains the Video Encyclopedia of the 20th Century, providing students with a searchable collection of some of the most important social, political, and cultural moments of the 20th century.<p>[From Vendor]<p>Last updated: May 5, 2015""",EBSCO,1922,"Index,Abstract,FullText",http://www.ebscohost.com/academic/canadian-points-of-view-reference-centre,,53,http://www.ebscohost.com/titleLists/p3h-coverage.htm,,
141,"Library, Information Science & Technology Abstracts with Full Text","Created by librarians for librarians, this database also includes chapters in collected works such as conference proceedings, and library school theses and pamphlets. Library Literature & Information Science Full Text provides PDF page images of all full-text articles, including charts, graphs, photos, and other important graphical information with coverage dating as far back as 1970.<p>This database provides cover-to-cover indexing and abstracting of over 580 journals, including key library and information science periodicals, and full-text coverage of over 334 journals.<p>[From Vendor]<P>Last updated: December 6, 2013""",EBSCO,1965 - present,"Index,Abstract,FullText",http://www.ebscohost.com/academic/library-information-science-technology-abstracts-with-full-text,,53,http://www.ebscohost.com/titleLists/lih-coverage.htm,,
140,Professional Development Collection,"Professional Development Collection provides a highly specialized collection of electronic information especially for professional educators, professional librarians and education researchers. This collection offers information on everything from children's health and development to cutting-edge pedagogical theory and practice.<p>Professional Development Collection includes full text for Chronicle of Higher Education, Educational Leadership, Journal of Education, Journal of Higher Education, Theory Into Practice, and nearly 520 high quality education journals. This database also contains more than 200 educational reports.<p>[From vendor]<p>Last updated: December 13, 2013""",EBSCO,,"Index,Abstract,FullText",http://www.ebscohost.com/public/professional-development-collection,,53,http://www.ebscohost.com/titleLists/tfh-journals.htm,,
147,Vocational Studies Complete,"Designed specifically for the research needs of two-year colleges, this resource provides full-text, comprehensive coverage of the most relevant Associates program level content. Also available under the names Associates Programs Source and Associates Programs Plus, this unique database covers such varied topics as: alcohol and drug abuse counseling, audiology, biotechnology, computer and data processing, CAD, cosmetology, electrical technology, fashion design, forensics, graphic arts, health information technology, interior design, law enforcement and criminal justice, paralegal studies, robotics, travel and tourism, veterinary assisting, and dozens more. [From vendor] Last updated: May 9, 2014""",EBSCO,1961 to present,"Index,Abstract,FullText",http://www.ebscohost.com/academic/vocational-studies-complete,,53,http://www.ebscohost.com/titleLists/v1h-journals.htm,,
148,Oxford Islamic Studies,"More than 6,000 articles from major Oxford reference works cover all aspects of the Islamic world, giving students ready access to the most authoritative scholarship in the field.<p>The first and only electronic version of Hanna E. Kassiss' Concordance of the Quran links to the sites two translations of the Quran, offering the ability to access this essential text in a way no other Islamic studies resource can.<p>250+ primary source documents selected and translated by leading scholars include excerpts from seminal books, transcripts of speeches, fatwas, statements posted on Arabic internet sites and other sources.<p>Carefully selected links to trustworthy external websites saves students and researchers time and spare confusion about the validity of online sources.<p>Lesson plans to serve as course development tools, aid lecture preparation, stimulate ideas, or supplement and enhance existing syllabi.<p>New and revised content added in regular updates to keep your syllabus on the cutting edge with the most current thinking by top scholars, especially vital in such a rapidly developing field.<p>[From Vendor]<p>Updated: April 21, 2015""",Oxford University Press,6th century C.E. to present,"Index,FullText",http://www.oup.com/online/us/oiso/,"<a href=""https://subscriberservices.sams.oup.com/LOGIN?sessionid=22a4df46d6dd8f534d4c3edecac4a1b5&authstatuscode=400"">Oxford Subscriber Services</a>",61,http://global.oup.com/academic/product/oxford-islamic-studies-online-9780195301748?cc=ca&lang=en&,,
149,Undergraduate Foundation Collection (UFC),"<p>The Undergraduate Foundation Collection (UFC) is a core suite of databases which consists of Academic Search Premier and Business Source Premier.<p>Libraries participating in the UFC receive access to Academic Search Premier and Business Source Premier if they were not already subscribed at that level. They may also choose to upgrade to Academic Search Complete and Business Source Complete. The current UFC license will last May 31, 2015.<p>Last updated: March 20, 2015""",,,"Index,Abstract,FullText",http://www.ebscohost.com/academic,UFC statistics can be retrieved by accessing the individual product statistics via Ebsco Admin.,53,http://www.ebscohost.com/title-lists,,
170,Education Source,"Developed through the merger of high-quality databases from EBSCO and H.W. Wilson, and including many unique sources not previously available, this database covers scholarly research and information to meet the needs of education students, professionals, and policy makers. This massive file offers the world's largest and most complete collection of full-text education journals, and encompasses an international array of English-language periodicals, monographs, yearbooks, and more.<p>As the complete source of education scholarship, Education Source covers all levels of educationófrom early childhood to higher educationóas well as all educational specialties such as multilingual education, health education, and testing.<p>[From vendor]<p>Last updated: April 28, 2015""",EBSCO,1929 - Present,"Index,Abstract,FullText",http://www.ebscohost.com/academic/education-source,,53,#N/A,,
162,Academic Search Elite/Premier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,
166,ebrary Academic Complete,"BC ELN offers two ebrary subscription products, Academic Complete: currently 74,502 ebooks and growing, and College Complete - currently 25,814 ebooks and growing.<p>From the vendor:<p>Titles are selected by the ebrary in-≠&#8208house Bibliographic Services team, which is comprised of experienced academic librarians. Content additions are selected to follow these editorial guidelines:<ul><li>Scholarly and professional focus</li><li>Important publishers</li><li>Breadth and multi-≠&#8208disciplinary subject coverage</li><li>Depth of content</li><li>Value</li></ul>""",ProQuest,1600 to current,"Index,FullText",http://site.ebrary.com/lib/academiccompletetitles/home.action?force=1,,62,http://site.ebrary.com/lib/academiccompletetitles/search.action?p00=eball&sortBy=date&sortOrder=d es,,
156,Feature Film Public Performance Rights,"BC ELN coordinates two licenses for feature film public performance rights (ffPPR)  Under the Canadian Copyright Act any viewing or exhibition of a film in a public place must have a Public Performance Rights license. In this context classrooms at universities and colleges are considered public places. <p>The licenses are with the two Canadian ffPPR licensing agencies, Audio Cine Films (ACF) and Criterion Pictures. Between them they cover almost all of the major US and Canadian studios and production companies and many independent producers and foreign films.<p>Unless institution also opts to subscribe to the entertainment option of the licenses, the public performance rights are for educational purposes in educational venues, i.e. an instructor showing a film in the classroom.<P>For more details please see: <a href=""""http://www.eln.bc.ca/view.php?id=1850"""">Feature Film Public Performance Rights FAQ</a>""",,,,http://www.eln.bc.ca/view.php?id=1850,,NULL,#N/A,,
157,Oxford Language Dictionaries Online,"Oxford Language Dictionaries Online offers Oxford's high-quality bilingual language reference content in an expanding range of languages. Now including Chinese, French, German, Italian, Russian, and Spanish, this innovative website features essential language resources never before available online - fully searchable, completely comprehensive bilingual dictionaries, and unique study materials that provide extra help with learning and using an expanding range of languages. The Oxford Language Web, an innovative new feature offers translations in 13 languages, including Arabic, Polish, Portuguese, Japanese, Korean, and Thai. <p>[From Vendor]<p>Updated: April 21, 2015""",Oxford University Press,,,http://www.oxforddictionaries.com/,,60,#N/A,,
158,Films on Demand,"Films On Demand is a Web-based digital video delivery service that allows you to view streaming videos from Films Media Group anytime, anywhere, 24/7! Choose from thousands of high-quality educational titles in dozens of subject areas. Special features allow users the ability to organize and bookmark clips, create and share playlists, personalize folders, and manage their entire collection through a robust administrative reporting system. Films On Demand delivers outstanding digital video ideal for students, faculty, and public library patrons through online catalogs, distance-learning courses, and learning management systems. [From vendor] Last updated: December 3, 2013""",,,,http://www.mcintyre.ca/resources/films%20on%20demand%20brochure.pdf,,NULL,#N/A,,
159,Alexander Street Press Online Videos,"Academic Video Online is a single, integrated, modular platform for the delivery of streaming video to colleges and schools.<p>Academic Video Online brings you content from the BBC, PBS, Arthaus, CBS, Kino International, Documentary Educational Resources, California Newsreel, Opus Arte, The Cinema Guild, Pennabaker Hegedus Films, Psychotherapy.net, and hundreds of other partners. Newsreels, award-winning documentaries, field recording, interviews, lectures, training videos, and exclusive primary footage come together in a vast and powerful collection - 22,000+ full-length videos.<p>[From vendor]<p>Last updated November 6, 2013""",Alexander Street Press,,,http://alexanderstreet.com/,,93,#N/A,,
160,Project Muse e-Books,"Available on the Project MUSE platform beginning January 1, 2012, UPCC Book Collections will provide libraries, researchers, and students digital access to a wealth of high quality book-length scholarship, fully integrated with MUSEís electronic journal collections. Offerings include Current Collections, comprised of books published or scheduled to publish in 2010, 2011, and 2012, available as single-year collections or with special discounts for the purchase of multiple years. Current Complete Collections include all books available across all disciplines for the applicable calendar year, while Current Subject Collections offer books in selected disciplines by calendar year. Also available are Archival Foundation Collections, consisting of many thousands of titles published prior to 2010, allowing libraries to procure access to a critical mass of significant content at very affordable prices. Subject collections available include Archeology and Anthropology; Classical Studies (Archival Collection only); Film, Theater and Performing Arts; Global Cultural Studies; Higher Education; History; Language and Linguistics (Archival Collection only); Literature; Philosophy and Religion; Poetry, Fiction and Creative Non-Fiction; Political Science and Policy Studies; and United States Regional Studies.<p>Project MUSE focused on providing the library community with the widest possible array of collection purchasing options. There are 47 different collections to choose from as well as 11 specially-priced three-year current bundles. <p>[From vendor]<p>Last updated: December 13, 2013""",John Hopkins University Press,,,,,NULL,#N/A,,
161,National Film Board CAMPUS,"CAMPUS is the leading online streaming service for Canadian media content in the classroom. Technology doesn't stand still and neither does CAMPUS. Since the National Film Board first launched online films for streaming in 2009, it has grown from 900 films to over 3,000 with a host of new features and resources being developed each year in consultation with classroom instructors.<p>As soon as they read about the next big NFB film or see it in a festival, they can show the film on CAMPUS with minimal delay. In addition, approximately 30 to 40 new titles from our extensive catalogue will be added on a quarterly basis.<p>Along with NFB-produced content, NFB is adding new acquisitions from TFO, L.A. Theatre Works (famous audible plays), NHK Japan and other third party content.<p><b>Technical Support contact:</b><br>Phone: 1-800-267-7710<br>Email: clientservices@nfb.ca<br><P>Last updated: March 13, 2015""",National Film Board of Canada,,,https://www.nfb.ca/about/,The National Film Board will send partner libraries usage statistics on a quarterly basis.,94,http://www.eln.bc.ca/docs/view.php?id=802,,
163,Business Source Elite/Premier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,
164,Canadian Electronic Library: Books Collection,"<p>From the vendor:</p><p>This is the centrepiece of the Canadian Electronic Library. Over 70 leading Canadian publishers have to date made over 15,000 titles available for library use through the Canadian Publishers Collection. Many volumes and series critical for the pursuit of Canadian studies are available here. Most of these titles are also available under perpetual access licensing terms. In addition, about 4000 titles are available for perpetual access licensing only, having been excluded from subscription licensing by their publishers.</p><p>Last updated: June 10, 2015""",,,,http://www.deslibris.ca/en-us/forlibraries/canadianelectroniclibrary/celbookscollections.aspx,,93,http://canadianelectroniclibrary.ca/collateral/CELPublishersCollection.xlsx,,
165,EBSCO Academic e-Books,"This growing subscription package contains a large selection of multidisciplinary eBook titles representing a broad range of academic subject matter, and is a strong complement for any academic collection. The breadth of information available through this package ensures that users will have access to information relevant to their research needs.<p>There are more than 135,000 eBooks in this package, including titles from leading university presses such as Oxford University Press, MIT Press, State University of New York Press, Cambridge University Press, University of California Press, McGill-Queen's University Press, Harvard University Press and many others. Additional academic publishers include Elsevier Ltd. Ashgate Publishing Ltd Taylor & Francis Ltd Sage Publications, Ltd. and John Wiley & Sons, Inc.<p><li><a href=""""http://www.eln.bc.ca/docs/view.php?id=997""""><b>download MARC records FAQ</a></b><br></ul><p>[From vendor]<p>Last updated: April 2, 2015""",EBSCO,,FullText,http://www.ebscohost.com/ebooks/academic/subscriptions/academic-ebook-subscriptions,,53,http://www.ebscohost.com/ebooks/ebooks-subscription-listings,,
167,National Geographic,"National Geographic magazine is the official journal of the National Geographic Society, one of the worldís largest nonprofit educational and scientific organizations. Recognized for some of the highest-quality photojournalism and cartography in the world, this award-winning, iconic magazine is famous for providing unparalleled, in-depth coverage of cultures, nature, science, technology and the environment.<p>The National Geographic Magazine Archive, 1888-1994<p>Featuring the complete archive of the magazine to the mid-1990s, National Geographic Magazine Archive, 1888-1994, includes every page and every photograph, all fully searchable through an intuitive interface.<p>The National Geographic Magazine, 1995-Current<p>This collection is available separately on an annual subscription basis only. Content is updated monthly.<p>[From Vendor]<P>Last updated: December 6, 2013""",National Geographic,1888 - Current,"Index,Abstract,FullText",http://www.cengagesites.com/Literature/776/national-geographic-for-research-libraries/,,51,#N/A,,
169,Applied Science & Technology Source,"Developed through the merger of high-quality databases from EBSCO and H.W. Wilson, and including many unique sources not previously available, this database offers a diverse array of content that covers the full spectrum of the research and development of the applied sciences and computing disciplines.<p>Providing content from leading trade and industrial journals, professional and technical society journals, specialized subject periodicals, buyersí guides, directories, conference proceedings and more, Applied Science & Technology Source focuses on traditional engineering challenges & research, as well as research concerning the business and social implications of new technology.This database provides comprehensive coverage for a wide variety of applied science specialtiesófrom acoustics to aeronautics, and neural networks to nuclear engineering.<p>[From vendor]<p>Last updated: April 24, 2015""",EBSCO,1913 to present,"Index,Abstract,FullText",http://www.ebscohost.com/academic/applied-science-technology-source,,53,http://www.ebscohost.com/title-lists,,
172,Humanities Source,"Developed through a merger of high-quality databases from EBSCO and H.W. Wilson, and including many unique sources that were never previously available, this database offers worldwide content pertaining to literary, scholarly and creative thought. As the most comprehensive resource available in its field, Humanities Source provides full textóplus abstracts and bibliographic indexingófor the most noted scholarly sources in the humanities.<p>Including feature articles, interviews, obituaries, bibliographies, original works of fiction, book reviews, and reviews of ballets, dance programs, motion pictures, musicals, operas, plays, and much more, Humanities Source is a valuable collection for students, researchers and educators interested in all aspects of the humanities.<p>[From vendor]<p>Last updated: April 28, 2015""",EBSCO,1907 - Present,"Index,Abstract,FullText",,,53,#N/A,,
173,Curio.ca,"Launched in October 2013, Curio.ca is CBC and Radio-Canadaís online subscriber-based streaming service developed expressly for the Canadian educational community, including school boards, government ministries, universities, colleges and cÈgeps, and public libraries. Curio.ca currently reaches over two million students across Canada.<p>With a dedicated team of people experienced in educational resource development, production, web development, sales, marketing and distribution, Curio.ca is committed to providing the Canadian educational community with high-quality, Canadian digital learning resources that align with curriculum to meet todayís classroom needs and support learning when, where and how teachers and students want it.<p>Our collection features thousands of programs and hundreds of teacher resource guides carefully curated to support provincial K-12 curricula and post-secondary courses across the country. Curio.ca gives teachers and students 24/7 access to a wealth of primary-source content in English and French. Itís a great tool to help students develop critical-thinking skills. Every week, we add new content selected for its educational relevance, always commercial-free, including the latest from CBCís award-winning documentary, news, drama, and children's programming (e.g. <i>Doc Zone, The Nature of Things, The Fifth Estate and The National</i>).<p>Each participating institution will receive one main account under the account of their consortium. Each participating institution can then request a number of accounts to be set up for each professor, who can then set up his/her individual profile so as to be able to prepare play lists for sharing with the students in his/her course(s). Library staff may also wish to set up a few accounts, for training purposes. A limit of 2,000 accounts for professors/staff per institution.*<p>*NOTE: Names of professors/staff for individual profile accounts are not required at this time. Details on the process for professors/staff to take advantage of this functionality will be provided upon subscription.<p>[From vendor]<p>Last updated: May 5, 2015""",CBC/Radio-Canada,,,http://curio.ca/en/about-us/,,NULL,#N/A,,
